"t","N"
0,1879
60,12127
120,73300
180,442383
240,2671753
300,15947798
360,89287799
420,372300176
480,782047493
540,955960789
600,992442527
660,998742736
720,999791896
780,999965614
840,999994411
900,999999049
960,999999794
1020,999999883
1080,999999912
1140,1000000241
1200,1000000013
1260,999999951
1320,999999956
1380,1000000046
1440,999999931
1500,999999855
1560,1000000057
1620,999999898
1680,999999998
1740,999999906
1800,1000000110
1860,999999952
1920,999999929
1980,999999950
2040,999999837
2100,999999883
2160,999999782
2220,999999866
2280,999999971
2340,999999953
2400,1000000145
2460,999999893
2520,999999914
2580,999999972
2640,999999901
2700,999999903
2760,999999889
2820,999999875
2880,999999948
2940,999999950
3000,999999819
3060,999999942
3120,999999889
3180,999999899
3240,999999984
3300,1000000056
3360,1000000165
3420,999999923
3480,1000000161
3540,999999884
3600,1000000066
3660,1000000255
3720,999999997
3780,999999933
3840,999999999
3900,1000000178
3960,999999886
4020,1000000137
4080,1000000133
4140,1000000034
4200,1000000001
4260,999999954
4320,999999963
4380,1000000065
4440,1000000207
4500,999999985
4560,999999861
4620,999999928
4680,1000000026
4740,999999968
4800,999999982
4860,999999983
4920,999999863
4980,999999983
